image,name,CODE,type,brand,category,unit_code,cost,price,product_details
,ผ้าโซฟา พื้นสีน้ำตาล ลายใบไม้,0-CP-151-3,standard,,CP,pc,1,1,ผ้าโซฟา พื้นสีน้ำตาล ลายใบไม้
,ผ้าโซฟา ลายกุหลาบสีแดง,0-CP-152-1,standard,,CP,pc,1,1,ผ้าโซฟา ลายกุหลาบสีแดง
,ผ้าโซฟา ลายกุหลาบสีน้ำตาล,0-CP-152-2,standard,,CP,pc,1,1,ผ้าโซฟา ลายกุหลาบสีน้ำตาล
,ผ้าโซฟา ลายกุหลาบสีแดง,0-CP-1522-1,standard,,CP,pc,1,1,ผ้าโซฟา ลายกุหลาบสีแดง
,ผ้าโซฟา ลายกุหลาบสีน้ำตาล,0-CP-1522-2ไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา ลายกุหลาบสีน้ำตาล
,ผ้าโซฟา ลายกุหลาบสีม่วง,0-CP-1522-3,standard,,CP,pc,1,1,ผ้าโซฟา ลายกุหลาบสีม่วง
,ผ้าโซฟา ลายกุหลาบสีม่วง,0-CP-152-3,standard,,CP,pc,1,1,ผ้าโซฟา ลายกุหลาบสีม่วง
,ผ้าโซฟา สีน้ำตาล,0-CP-153-1,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาล
,ผ้าโซฟา สีแดง,0-CP-153-2 ไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีแดง
,ผ้าโซฟา สีส้ม,0-CP-153-3,standard,,CP,pc,1,1,ผ้าโซฟา สีส้ม
,ผ้าโซฟา สีน้ำตาล,0-CP-1533-1,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาล
,ผ้าโซฟา สีแดง,0-CP-1533-2,standard,,CP,pc,1,1,ผ้าโซฟา สีแดง
,ผ้าโซฟา สีส้ม,0-CP-1533-3,standard,,CP,pc,1,1,ผ้าโซฟา สีส้ม
,ผ้าโซฟา สีแดง,0-CP-154-1,standard,,CP,pc,1,1,ผ้าโซฟา สีแดง
,ผ้าโซฟา สีชมพู,0-CP-154-3 ไม่ใช้,standard,,CP,pc,1,1,ผ้าโซฟา สีชมพู
,ผ้าโซฟา สีน้ำตาล,0-CP-154-4,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาล
,ผ้าโซฟา สีแดง,0-CP-1544-1,standard,,CP,pc,1,1,ผ้าโซฟา สีแดง
,ผ้าโซฟา สีส้ม,0-CP-1544-2,standard,,CP,pc,1,1,ผ้าโซฟา สีส้ม
,ผ้าโซฟา สีน้ำตาล,0-CP-1544-4,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาล
,ผ้าโซฟา สีแดง,0-CP-155-1,standard,,CP,pc,1,1,ผ้าโซฟา สีแดง
,ผ้าโซฟา สีเขียว,0-CP-155-2,standard,,CP,pc,1,1,ผ้าโซฟา สีเขียว
,ผ้าโซฟา สีม่วง,0-CP-155-3,standard,,CP,pc,1,1,ผ้าโซฟา สีม่วง
,ผ้าโซฟา สีน้ำตาล,0-CP-155-4,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาล
,ผ้าโซฟา สีแดง,0-CP-1555-1,standard,,CP,pc,1,1,ผ้าโซฟา สีแดง
,ผ้าโซฟา สีม่วง,0-CP-1555-3,standard,,CP,pc,1,1,ผ้าโซฟา สีม่วง
,ผ้าโซฟา สีน้ำตาล,0-CP-1555-4,standard,,CP,pc,1,1,ผ้าโซฟา สีน้ำตาล
,ผ้าโซฟาสีชมพู 1.8 เมตร,0-CP-156-1,standard,,CP,pc,1,1,ผ้าโซฟาสีชมพู 1.8 เมตร
